year,runup,latitude,longitude
2004,12.9,4.62082,95.63249
2004,3.37,4.189,73.535
2004,11.3,6.344,81.497
2004,29.7,5.451,95.243
2004,29.8,5.46,95.246
2004,1.64,4.19,73.538
2004,1.22,4.19453,73.52565
2004,0,9.3,79.317
2004,30.5,5.485,95.228
2004,30.6,5.496,95.229
2004,2.03,4.201,73.541
2004,1.15,4.17208,73.50235
2004,0.3,-12.13,96.88
2004,34.7,5.499,95.229
2004,2.43,4.201,73.545
2004,1.45,4.16942,73.50581
1861,0,1.5,97.2
2004,35.7,5.456,95.246
2004,0.78,4.121,73.436
2004,15.42,5.482,95.236
2004,40.2,5.351,95.246
2004,2.05,4.1697,73.51338
2004,1.38,4.123,73.438
2004,18.06,5.477,95.235
2004,50.6,5.429,95.234
2004,2.1,5.631,95.405
2004,5.9,5.52,95.272
2004,34.25,5.472,95.242
2004,6,5.54,95.307
2004,2.9,5.562,95.344
2004,28.61,5.422,95.244
2004,6,5.579,95.351
2004,3.1,5.562,95.344
1907,0.6,6.054,80.212
2004,3.4,5.558,95.321
1907,2.1,6.124,81.127
2004,3.5,5.567,95.344
2010,0.44,4.129,96.129
2004,6,5.478,95.265
2004,6.2,5.595,95.385
2004,6.3,5.573,95.342
2004,6.3,5.594,95.371
2004,6.5,5.48,95.244
2004,19.7,5.27621,95.25104
2004,6.6,5.531,95.288
2004,19.7,5.27622,95.25139
2004,6.6,5.594,95.371
2004,17.1,4.9001,95.40208
2004,6.6,5.598,95.39
2004,17.9,4.90034,95.40256
2004,6.7,5.579,95.351
2004,16.7,4.89754,95.40444
2004,15.7,4.69064,95.53565
2004,6.8,5.575,95.325
2004,16.5,4.69137,95.53677
2004,6.8,5.53,95.287
2004,2.1,2.35708,73.35457
2004,6.9,5.596,95.385
2004,2.35,2.3575,73.35568
2004,7,5.488,95.267
2004,2.76,2.35777,73.35563
2004,7.1,5.487,95.264
2004,2.76,2.77183,73.4251
2004,7.1,5.536,95.305
2004,2.9,2.77225,73.42503
2004,7.1,5.596,95.385
2004,2.83,2.77297,73.42533
2004,2.91,2.77343,73.42473
2004,2.87,2.77385,73.42442
2004,2.23,2.77402,73.42363
2004,0,10.7667,79.8333
2004,0,10.7,79.8
2004,31,5.45777,95.24513
2004,3.6,5.567,95.343
2004,3.7,5.566,95.341
2004,4,5.562,95.326
2004,4,5.557,95.32
2004,4.1,5.59,95.392
2004,4.5,5.571,95.345
2004,4.5,5.59,95.392
2004,4.6,5.566,95.327
2004,4.6,5.566,95.327
2004,4.7,5.57,95.334
2004,4.9,5.565,95.33
2004,4.9,5.477,95.265
2004,4.9,5.565,95.312
2004,5,5.631,95.404
2004,5.1,5.572,95.344
2004,11.2,5.61,95.397
2004,12.3,5.556,95.236
2004,12.5,5.557,95.284
2004,12.6,5.564,95.235
2004,7.2,5.556,95.315
2004,6,7.724,81.714
2004,7.2,5.594,95.371
2004,7.3,5.575,95.328
2004,7.3,5.614,95.399
2004,1.8,4.169,73.506
2004,7,7.919,81.566
2004,7.4,5.597,95.385
2004,1.6,4.17,73.513
2004,7.4,5.596,95.393
2004,3.2,8.572,81.192
2004,7.5,5.575,95.341
2004,1.7,4.17,73.517
2004,3.3,8.512,81.191
2004,7.5,5.575,95.342
2004,7.6,5.574,95.345
2004,5.98,5.549,95.311
2004,3.4,8.576,81.237
2004,4.73,5.548,95.316
2004,4.3,8.616,81.219
2004,5.16,5.548,95.315
2004,4,8.725,81.177
2004,7.6,5.48,95.243
2004,5.56,5.548,95.314
2004,5,8.677,81.203
2004,7.7,5.575,95.325
2004,5.55,5.548,95.313
2004,12.6,5.564,95.235
2004,5.53,5.549,95.313
2004,17.8,5.381,95.26
2004,5.61,5.549,95.312
2004,18.4,5.442,95.241
2004,7.7,5.575,95.325
2004,6.76,5.553,95.304
2004,4.7,5.553,95.317
2004,19.5,5.42,95.248
2004,7.8,5.481,95.244
2004,6.58,5.55,95.307
2004,4.68,5.553,95.316
